ID,time created, User, Followers, RTs, Favorites
1101211811217584133,Thu Feb 28 20:05:29 +0000 2019,edtechwells,258,0,5
1101211656346955776,Thu Feb 28 20:04:53 +0000 2019,gotynker,14535,2,4
1101211248631386113,Thu Feb 28 20:03:15 +0000 2019,lsudol,2677,2,0
1101211216607887362,Thu Feb 28 20:03:08 +0000 2019,lsudol,2677,5,0
1101211160639139845,Thu Feb 28 20:02:54 +0000 2019,CSforALL,13025,2,1
1101210923006611457,Thu Feb 28 20:01:58 +0000 2019,CSforAllTchrs,7277,7,13
1101210886025502720,Thu Feb 28 20:01:49 +0000 2019,lsudol,2677,4,0
1101210860855480320,Thu Feb 28 20:01:43 +0000 2019,lsudol,2677,2,0
1101210839313469442,Thu Feb 28 20:01:38 +0000 2019,CSforALL,13025,5,5
1101210810846597120,Thu Feb 28 20:01:31 +0000 2019,kickrg,282,0,5
1101210394113261575,Thu Feb 28 19:59:52 +0000 2019,CSforALL,13025,2,14
1101210153750274048,Thu Feb 28 19:58:54 +0000 2019,CSDatCMU,2593,4,0
1101209977040060416,Thu Feb 28 19:58:12 +0000 2019,CSforALL,13025,4,11
1101209587125047296,Thu Feb 28 19:56:39 +0000 2019,SBarksway,50,1,0
1101209081820278784,Thu Feb 28 19:54:39 +0000 2019,KnIhT_tNeReFfId,281,1,3
1101208918091579395,Thu Feb 28 19:54:00 +0000 2019,mhshelpus,138,5,0
1101208885015146496,Thu Feb 28 19:53:52 +0000 2019,Bootstrapworld,3293,0,4
1101208560736849926,Thu Feb 28 19:52:35 +0000 2019,cscharber,1265,1,0
1101208539186507782,Thu Feb 28 19:52:29 +0000 2019,DrJuanGilbert,1998,3,0
1101208446622461952,Thu Feb 28 19:52:07 +0000 2019,CSforALL,13025,1,3
1101207969746825217,Thu Feb 28 19:50:14 +0000 2019,CSforALL,13025,1,4
1101207530481565696,Thu Feb 28 19:48:29 +0000 2019,iAAMCS,447,3,10
1101206143647518720,Thu Feb 28 19:42:58 +0000 2019,cscharber,1265,1,0
1101205575952728065,Thu Feb 28 19:40:43 +0000 2019,luvelleb,4419,3,0
1101205383081746432,Thu Feb 28 19:39:57 +0000 2019,techie4good,1287,7,0
1101204830142361600,Thu Feb 28 19:37:45 +0000 2019,techie4good,1287,1,0
1101204177890541569,Thu Feb 28 19:35:10 +0000 2019,StvSharp,386,0,1
1101203158716612608,Thu Feb 28 19:31:07 +0000 2019,AngCleveland,2750,1,2
1101202985214984192,Thu Feb 28 19:30:25 +0000 2019,DevSecOpsGrl007,449,6,0
1101200430024065024,Thu Feb 28 19:20:16 +0000 2019,jenns0719,65,2,6
1101199675342884864,Thu Feb 28 19:17:16 +0000 2019,amalong,649,2,0
1101199573324914689,Thu Feb 28 19:16:52 +0000 2019,StephWortel,832,2,0
1101198043225964545,Thu Feb 28 19:10:47 +0000 2019,tophe,1179,7,0
1101197810698018824,Thu Feb 28 19:09:51 +0000 2019,marlobarnett,1545,6,0
1101197568317538309,Thu Feb 28 19:08:54 +0000 2019,marlobarnett,1545,5,0
1101195737776381953,Thu Feb 28 19:01:37 +0000 2019,SBarksway,50,2,0
1101195397312196610,Thu Feb 28 19:00:16 +0000 2019,josephpwilson,2155,2,18
1101195343654465536,Thu Feb 28 19:00:03 +0000 2019,RobotConsumer,1190,7,0
1101195048081915907,Thu Feb 28 18:58:53 +0000 2019,yamatho2,4093,7,0
1101195032445411329,Thu Feb 28 18:58:49 +0000 2019,ClarkBootUp,68,1,0
1101195018587512833,Thu Feb 28 18:58:46 +0000 2019,RBot3000,20,7,0
1101194852597825536,Thu Feb 28 18:58:06 +0000 2019,BootUpPD,1120,1,3
1101194806599012354,Thu Feb 28 18:57:55 +0000 2019,JoyceRigelo,25,7,0
1101194500062498817,Thu Feb 28 18:56:42 +0000 2019,josephpwilson,2155,0,4
