ID,time created, user name, user followers, likes, retweets
1100783731969875973,Wed Feb 27 15:44:27 +0000 2019,anneleftwich,1069,0,3
1100782964600905729,Wed Feb 27 15:41:24 +0000 2019,CisforCarla,352,6,0
1100782631044763649,Wed Feb 27 15:40:05 +0000 2019,dr_nickiw,1110,0,1
1100782561528332288,Wed Feb 27 15:39:48 +0000 2019,CSforALL,12983,1,0
1100782509816758272,Wed Feb 27 15:39:36 +0000 2019,lsudol,2664,9,0
1100782495757406210,Wed Feb 27 15:39:33 +0000 2019,CSforALL,12983,9,0
1100782303276683265,Wed Feb 27 15:38:47 +0000 2019,dr_nickiw,1110,1,2
1100781889785233408,Wed Feb 27 15:37:08 +0000 2019,ahnjune,1380,9,0
1100780929730121731,Wed Feb 27 15:33:19 +0000 2019,yadavaman,2296,12,0
1100780457669611520,Wed Feb 27 15:31:27 +0000 2019,CisforCarla,352,6,0
1100780297262587905,Wed Feb 27 15:30:49 +0000 2019,chrislarry33,2050,9,0
1100779918424768520,Wed Feb 27 15:29:18 +0000 2019,DanaKickler,87,0,3
1100779864322383872,Wed Feb 27 15:29:05 +0000 2019,MrsWrightCS,326,0,5
1100779372229869569,Wed Feb 27 15:27:08 +0000 2019,Empathetics,2100,9,20
1100778591233687552,Wed Feb 27 15:24:02 +0000 2019,YouthCodeJam,245,0,0
1100778455531220995,Wed Feb 27 15:23:29 +0000 2019,lsudol,2664,3,0
1100778421926412288,Wed Feb 27 15:23:21 +0000 2019,CSforALL,12983,6,0
1100778352695304194,Wed Feb 27 15:23:05 +0000 2019,CSforALL,12983,3,3
1100778120351809536,Wed Feb 27 15:22:10 +0000 2019,CisforCarla,352,12,0
1100777996728889344,Wed Feb 27 15:21:40 +0000 2019,CisforCarla,352,4,0
1100777968043880448,Wed Feb 27 15:21:33 +0000 2019,LTMediaLab,2007,3,0
1100777924096131072,Wed Feb 27 15:21:23 +0000 2019,anneleftwich,1069,6,11
