ID,time created, User, Followers, RTs, Favorites
1101246751430901761,Thu Feb 28 22:24:20 +0000 2019,MsMattAPHS,53,1,12
1101246406394826752,Thu Feb 28 22:22:58 +0000 2019,RedworldToys,7208,74,0
1101246316208840704,Thu Feb 28 22:22:36 +0000 2019,DeshPremiBhakt,103,32,0
1101246279869329408,Thu Feb 28 22:22:27 +0000 2019,DeshPremiBhakt,103,27,0
1101246272835674113,Thu Feb 28 22:22:26 +0000 2019,AmeliaRecruits,24,0,5
1101245606159364097,Thu Feb 28 22:19:47 +0000 2019,WiH2020,136,1,0
1101245394007273473,Thu Feb 28 22:18:56 +0000 2019,greggo1685,795,108,0
1101245176679403521,Thu Feb 28 22:18:04 +0000 2019,staniam50,1417,2,2
1101245041023115264,Thu Feb 28 22:17:32 +0000 2019,fayettecreates,37,0,4
1101244696863621120,Thu Feb 28 22:16:10 +0000 2019,AMHotFlash,14059,108,0
1101244692916781058,Thu Feb 28 22:16:09 +0000 2019,ednorgardYMCA,22,3,7
1101244383788187649,Thu Feb 28 22:14:55 +0000 2019,jenniealice87,197,5,26
1101244261750751241,Thu Feb 28 22:14:26 +0000 2019,StephDNVaughan,391,108,0
1101244165902356480,Thu Feb 28 22:14:03 +0000 2019,junekang,370,0,0
1101244053373489152,Thu Feb 28 22:13:37 +0000 2019,m_knoblauer,48,2,0
1101243827019546624,Thu Feb 28 22:12:43 +0000 2019,JustBot7,84,2,0
1101243370876424192,Thu Feb 28 22:10:54 +0000 2019,smarshall2002,1292,2,0
1101243331739353088,Thu Feb 28 22:10:45 +0000 2019,GarethCUK,2271,1,0
1101243247765217280,Thu Feb 28 22:10:25 +0000 2019,ScepticalV,3,0,0
1101243113400602624,Thu Feb 28 22:09:52 +0000 2019,MaryjaneMjmalin,1489,108,0
1101243000011710464,Thu Feb 28 22:09:25 +0000 2019,AZMoleMan,4340,48,0
1101242961868681216,Thu Feb 28 22:09:16 +0000 2019,merelyawoman,4645,108,0
1101242801289920512,Thu Feb 28 22:08:38 +0000 2019,KatFrostell,268,14,0
1101242781710770179,Thu Feb 28 22:08:33 +0000 2019,AusWomenLawyers,3632,5,0
1101242574021554176,Thu Feb 28 22:07:44 +0000 2019,GatesKeith,6062,108,0
1101242409650974720,Thu Feb 28 22:07:05 +0000 2019,NYHUB_Reshape,65,0,3
1101242401744654336,Thu Feb 28 22:07:03 +0000 2019,JayQualls,3798,1,2
1101242337097904128,Thu Feb 28 22:06:47 +0000 2019,CarlaThomas29,1491,2,7
1101242332991635457,Thu Feb 28 22:06:46 +0000 2019,thatrowlandsboy,626,5,0
1101242312250802177,Thu Feb 28 22:06:41 +0000 2019,Sharonscofield2,428,108,0
1101242134613708800,Thu Feb 28 22:05:59 +0000 2019,cbjj,334,26,0
1101242045404868608,Thu Feb 28 22:05:38 +0000 2019,LoriGale13,395,108,0
1101242018565632001,Thu Feb 28 22:05:31 +0000 2019,oliveblogs,3428,0,0
1101241788252278798,Thu Feb 28 22:04:37 +0000 2019,KristenStieffel,955,1,6
1101241535692226560,Thu Feb 28 22:03:36 +0000 2019,link_dennis7467,152,108,0
1101241473926946818,Thu Feb 28 22:03:22 +0000 2019,GracieUSA1,5809,108,0
1101241349813153792,Thu Feb 28 22:02:52 +0000 2019,CynBad13,4396,108,0
1101241228916449280,Thu Feb 28 22:02:23 +0000 2019,newhall89,1009,15,0
1101241135656251392,Thu Feb 28 22:02:01 +0000 2019,5BlessedHarts,8337,108,0
1101241060053913600,Thu Feb 28 22:01:43 +0000 2019,DrAYusuf,1324,2,2
1101240941338349569,Thu Feb 28 22:01:15 +0000 2019,AFSAus,726,1,5
1101240794856517637,Thu Feb 28 22:00:40 +0000 2019,PersisterCrone,11445,108,0
1101240728070639616,Thu Feb 28 22:00:24 +0000 2019,FeverResists,4776,108,0
1101240712459247617,Thu Feb 28 22:00:20 +0000 2019,AliceSoon1,1786,0,0
